Country,Date,AnnualGDP,AnnualGDP1,GDP _Growth_percentage
Mauritius,2020,"€9,561M","$10,921M",-14.9%
Maldives,2020,"€3,273M","$3,738M",-32.0%
Malawi,2020,"€10,666M","$12,182M",0.8%
Mexico,2020,"€952,608M","$1,073,920M",-8.2%
Malaysia,2020,"€295,379M","$337,008M",-5.6%
Mozambique,2020,"€12,274M","$14,019M",-1.2%
Namibia,2020,"€9,377M","$10,710M",-8.0%
Niger,2020,"€12,048M","$13,761M",3.6%
Nigeria,2020,"€375,961M","$429,423M",-1.8%
Nicaragua,2020,"€11,049M","$12,620M",-2.0%
Netherlands,2020,"€800,095M","$913,134M",-3.8%
Norway,2020,"€318,051M","$362,522M",-0.7%
Nepal,2020,"€29,752M","$33,983M",-2.1%
Nauru,2020,€103M,$115M,1.1%
New Zealand,2020,"€185,020M","$209,384M",-0.3%
Oman,2020,"€55,479M","$63,368M",-2.8%
Panama,2020,"€46,347M","$52,938M",-17.9%
Peru,2020,"€179,879M","$205,458M",-11.0%
Papua New Guinea,2020,"€21,598M","$24,669M",-3.5%
Philippines,2020,"€316,852M","$361,489M",-9.6%
Pakistan,2020,"€229,142M","$261,726M",-0.5%
Poland,2020,"€523,668M","$595,916M",-2.5%
State of Palestine,2020,"€13,645M","$15,561M",-11.5%
Palau,2020,€225M,$257M,-8.7%
Paraguay,2020,"€31,229M","$35,670M",-0.6%
Qatar,2020,"€127,342M","$145,450M",-3.6%
Romania,2020,"€218,863M","$248,716M",-3.7%
Serbia,2020,"€46,796M","$52,960M",-0.9%
Russia,2020,"€1,293,052M","$1,478,570M",-3.0%
Rwanda,2020,"€9,047M","$10,334M",-3.4%
Saudi Arabia,2020,"€612,956M","$700,118M",-4.1%
Solomon Islands,2020,"€1,353M","$1,546M",-4.3%
Seychelles,2020,€996M,"$1,138M",-12.9%
Sudan,2020,"€18,674M","$21,329M",-3.6%
Sweden,2020,"€475,432M","$541,064M",-2.9%
Singapore,2020,"€297,990M","$339,981M",-5.4%
Slovenia,2020,"€46,918M","$53,547M",-4.2%
Slovakia,2020,"€92,079M","$105,173M",-4.4%
Sierra Leone,2020,"€3,557M","$4,063M",-2.0%
San Marino,2019,"€1,444M","$1,616M",2.4%
Senegal,2020,"€21,576M","$24,644M",1.5%
Somalia,2020,"€4,367M","$4,988M",2.4%
Suriname,2020,"€2,525M","$2,884M",-15.9%
South Sudan,2018,"€3,945M","$4,659M",-1.9%
Sao Tome and Principe,2020,€418M,$477M,3.0%
El Salvador,2020,"€21,572M","$24,639M",-7.9%
Syria,2019,"€20,346M","$22,778M",3.7%
Swaziland,2020,"€3,478M","$3,973M",-1.9%
Chad,2020,"€9,481M","$10,829M",-0.9%
Togo,2020,"€6,632M","$7,575M",1.8%
Thailand,2020,"€439,628M","$501,712M",-6.1%
Tajikistan,2020,"€7,174M","$8,194M",4.5%
Timor-Leste,2020,"€1,665M","$1,902M",10.4%
Turkmenistan,2020,"€39,931M","$45,609M",-3.4%
Tunisia,2020,"€34,336M","$39,219M",-8.6%
Tonga,2020,€437M,$499M,0.7%
Turkey,2020,"€626,576M","$719,919M",1.8%
Trinidad and Tobago,2020,"€18,900M","$21,588M",-7.9%
Tuvalu,2020,€43M,$49M,4.4%
Taiwan,2020,"€584,973M","$668,156M",3.1%
Tanzania,2020,"€56,385M","$64,403M",4.8%
Ukraine,2020,"€135,966M","$155,300M",-4.0%
Uganda,2020,"€33,393M","$38,141M",-0.8%
Uruguay,2020,"€49,533M","$56,577M",-5.9%
Uzbekistan,2020,"€52,467M","$59,928M",1.7%
Saint Vincent and the Grenadines,2020,€707M,$808M,-3.3%
Venezuela,2018,"€83,319M","$98,400M",-19.6%
Vietnam,2020,"€300,397M","$343,114M",2.9%
Vanuatu,2020,€772M,$882M,-6.8%
Samoa,2020,€711M,$812M,-2.7%
Yemen,2020,"€16,495M","$18,841M",-8.5%
South Africa,2020,"€265,060M","$335,344M",-7.0%
Zambia,2020,"€16,914M","$19,319M",-3.0%
Zimbabwe,2020,"€15,804M","$18,051M",-6.2%
< GDP  2019GDP  2021 >,,,,
